TEXT	LEMMA	POS
instrumentos	instrumento	NOUN
congeneres	congener	ADJ
Paragrafo	paragrafo	PROPN
unico	unico	ADJ
publicidade	publicidade	NOUN
estao	estao	AUX
submetidas	submeter	VERB
entidades	entidade	NOUN
citadas	citar	VERB
caput	caput	NOUN
refere-se	referer se	VERB
parcela	parcela	NOUN
recursos	recurso	NOUN
publicos	publico	ADJ
recebidos	recebir	VERB
destinacao	destinacao	NOUN
prejuizo	prejuizo	NOUN
prestacoes	prestacoes	NOUN
contas	conta	NOUN
estejam	estar	AUX
legalmente	legalmente	ADV
obrigadas	obrigar	VERB
ARTIGO_3	ARTIGO_3	PROPN
Art.	Art.	PROPN
3o	3o	NUM
procedimentos	procedimento	NOUN
previstos	prever	VERB
Lei	Lei	PROPN
destinam-se	destinar se	VERB
assegurar	assegurar	VERB
direito	direito	NOUN
fundamental	fundamental	ADJ
acesso	acesso	NOUN
informacao	informacao	NOUN
executados	executar	VERB
conformidade	conformidade	NOUN
principios	principio	NOUN
basicos	basico	ADJ
administracao	administracao	NOUN
publica	publicar	VERB
seguintes	seguinte	ADJ
diretrizes	diretriz	NOUN
I	I	PROPN
observancia	observancia	NOUN
publicidade	publicidade	NOUN
preceito	preceito	NOUN
sigilo	sigilo	NOUN
excecao	excecao	NOUN
II	II	ADJ
divulgacao	divulgacao	NOUN
informacoes	informacoes	NOUN
interesse	interesse	NOUN
publico	publico	ADJ
independentemente	independentemente	ADV
solicitacoes	Solicitacoes	NOUN
III	III	PROPN
utilizacao	utilizacao	NOUN
meios	meio	NOUN
comunicacao	comunicacao	NOUN
viabilizados	viabilizar	VERB
tecnologia	tecnologia	NOUN
informacao	informacao	NOUN
IV	IV	PROPN
fomento	fomento	NOUN
desenvolvimento	desenvolvimento	NOUN
cultura	cultura	NOUN
transparencia	transparencia	NOUN
administracao	administracao	NOUN
publica	publicar	VERB
V	V	PROPN
desenvolvimento	desenvolvimento	NOUN
controle	controle	NOUN
social	social	ADJ
administracao	administracao	NOUN
publica	publicar	VERB
ARTIGO_4	ARTIGO_4	PROPN
Art.	Art.	PROPN
4o	4o	ADJ
efeitos	efeito	NOUN
Lei	Lei	NOUN
considera-se	considerar se	VERB
I	I	PROPN
informacao	informacao	NOUN
dados	dado	NOUN
processados	processar	VERB
nao	nao	NOUN
utilizados	utilizar	VERB
producao	producao	NOUN
transmissao	transmissao	NOUN
conhecimento	conhecimento	NOUN
contidos	contir	VERB
suporte	suporte	NOUN
formato	formato	NOUN
II	II	ADJ
documento	documento	NOUN
unidade	unidade	NOUN
registro	registro	NOUN
informacoes	informacoe	NOUN
seja	ser	AUX
suporte	suporte	NOUN
formato	formato	NOUN
III	III	PROPN
informacao	informacao	NOUN
sigilosa	sigiloso	ADJ
submetida	submetida	NOUN
temporariamente	temporariamente	ADV
restricao	restricao	NOUN
acesso	acesso	NOUN
publico	publico	ADJ
razao	razao	NOUN
imprescindibilidade	imprescindibilidade	NOUN
seguranca	seguranca	NOUN
sociedade	sociedade	NOUN
IV	IV	ADJ
informacao	informacao	NOUN
pessoal	pessoal	ADJ
relacionada	relacionado	VERB
pessoa	pessoa	NOUN
natural	natural	ADJ
identificada	identificar	VERB
identificavel	identificavel	ADJ
V	V	NOUN
tratamento	tratamento	NOUN
informacao	informacao	NOUN
conjunto	conjunto	NOUN
acoes	acoe	NOUN
referentes	referente	ADJ
producao	producao	NOUN
recepcao	recepcao	NOUN
classificacao	classificacao	NOUN
utilizacao	utilizacao	NOUN
acesso	acesso	NOUN
reproducao	reproducao	NOUN
transporte	transporte	NOUN
transmissao	transmissao	NOUN
distribuicao	distribuicao	NOUN
arquivamento	arquivamento	NOUN
armazenamento	armazenamento	NOUN
eliminacao	eliminacao	NOUN
avaliacao	avaliacao	NOUN
destinacao	destinacao	VERB
controle	controle	NOUN
informacao	informacao	NOUN
VI	VI	PROPN
disponibilidade	disponibilidade	NOUN
qualidade	qualidade	NOUN
informacao	informacao	NOUN
utilizada	utilizar	VERB
individuos	individuo	NOUN
equipamentos	equipamento	NOUN
sistemas	sistema	NOUN
autorizados	autorizar	VERB
VII	VII	ADJ
autenticidade	autenticidade	NOUN
qualidade	qualidade	NOUN
informacao	informacao	NOUN
tenha	ter	AUX
sido	ser	AUX
produzida	produzir	VERB
expedida	expeder	VERB
recebida	receber	VERB
modificada	modificar	VERB
determinado	determinar	VERB
individuo	individuo	NOUN
equipamento	equipamento	NOUN
VIII	VIII	NOUN
integridade	integridade	NOUN
qualidade	qualidade	NOUN
informacao	informacao	NOUN
nao	nao	ADV
modificada	modificar	VERB
origem	origem	NOUN
transito	transito	NOUN
destino	destino	NOUN
IX	IX	PROPN
primariedade	primariedade	NOUN
qualidade	qualidade	NOUN
informacao	informacao	NOUN
coletada	coletar	VERB
fonte	fonte	NOUN
maximo	maximo	NOUN
detalhamento	detalhamento	NOUN
possivel	possivel	ADJ
modificacoes	modificacoe	NOUN
ARTIGO_5	ARTIGO_5	PROPN
Art.	Art.	PROPN
5o	5o	ADJ
dever	dever	VERB
garantir	garantir	VERB
direito	direito	NOUN
acesso	acesso	NOUN
informacao	informacao	NOUN
sera	sera	AUX
franqueada	franquear	VERB
mediante	mediante	ADP
procedimentos	procedimento	NOUN
objetivos	objetivo	ADJ
ageis	agil	ADJ
transparente	transparente	ADJ
clara	claro	ADJ
linguagem	linguagem	NOUN
facil	facil	ADJ
compreensao	compreensao	NOUN
CAPITULO	CAPITULO	PROPN
II	II	ADJ
ACESSO	ACESSO	NOUN
INFORMACOES	INFORMACOES	PROPN
DIVULGACAO	DIVULGACAO	PROPN
ARTIGO_6	ARTIGO_6	PROPN
Art.	Art.	PROPN
6o	6o	PROPN
Cabe	Cabe	ADP
orgaos	orgao	NOUN
entidades	entidade	NOUN
publico	publico	ADJ
observadas	observar	VERB
normas	norma	NOUN
procedimentos	procedimento	NOUN
especificos	especifico	ADJ
aplicaveis	aplicavel	ADJ
assegurar	assegurar	VERB
I	I	PROPN
gestao	gestao	NOUN
transparente	transparente	ADJ
informacao	informacao	NOUN
propiciando	propiciar	VERB
amplo	amplo	ADJ
acesso	acesso	NOUN
divulgacao	divulgacao	NOUN
II	II	ADJ
protecao	protecao	NOUN
informacao	informacao	NOUN
garantindo-se	garantir se	VERB
disponibilidade	disponibilidade	NOUN
autenticidade	autenticidade	NOUN
integridade	integridade	NOUN
III	III	PROPN
protecao	protecao	NOUN
informacao	informacao	NOUN
sigilosa	sigiloso	ADJ
informacao	informacao	NOUN
pessoal	pessoal	ADJ
observada	observar	VERB
disponibilidade	disponibilidade	NOUN
autenticidade	autenticidade	NOUN
integridade	integridade	NOUN
restricao	restricao	NOUN
acesso	acesso	NOUN
ARTIGO_7	ARTIGO_7	PROPN
Art.	Art.	PROPN
7o	7o	NUM
acesso	acesso	NOUN
informacao	informacao	NOUN
trata	tratar	VERB
Lei	Lei	NOUN
compreende	compreender	VERB
direitos	direito	NOUN
obter	obter	VERB
I	I	PROPN
orientacao	orientacao	NOUN
procedimentos	procedimento	NOUN
consecucao	consecucao	NOUN
acesso	acesso	NOUN
podera	poderar	VERB
encontrada	encontrar	VERB
obtida	obter	VERB
informacao	informacao	NOUN
almejada	almejado	ADJ
II	II	ADJ
informacao	informacao	NOUN
contida	contir	VERB
registros	registro	NOUN
documentos	documento	NOUN
produzidos	produzir	VERB
acumulados	acumular	VERB
orgaos	orgao	NOUN
entidades	entidade	NOUN
recolhidos	recolher	VERB
nao	nao	NOUN
arquivos	arquivo	NOUN
publicos	publico	ADJ
III	III	PROPN
informacao	informacao	NOUN
produzida	produzir	VERB
custodiada	custodiar	VERB
pessoa	pessoa	NOUN
fisica	fisico	ADJ
entidade	entidade	NOUN
privada	privado	ADJ
decorrente	decorrente	ADJ
vinculo	vinculo	NOUN
orgaos	orgao	NOUN
entidades	entidade	NOUN
vinculo	vinculo	NOUN
ja	ja	PROPN
tenha	ter	AUX
cessado	cessar	VERB
IV	IV	ADJ
informacao	informacao	NOUN
primaria	primario	ADJ
integra	integrar	VERB
autentica	autentico	ADJ
atualizada	atualizar	VERB
V	V	NOUN
informacao	informacao	NOUN
atividades	atividade	NOUN
exercidas	exercir	VERB
orgaos	orgao	NOUN
entidades	entidade	NOUN
relativas	relativo	ADJ
politica	politica	NOUN
organizacao	organizacao	NOUN
servicos	servico	NOUN
VI	VI	ADJ
informacao	informacao	NOUN
pertinente	pertinente	ADJ
administracao	administracao	NOUN
patrimonio	patrimonio	NOUN
publico	publico	ADJ
utilizacao	utilizacao	NOUN
recursos	recurso	NOUN
publicos	publico	ADJ
licitacao	licitacao	PRON
contratos	contrato	NOUN
administrativos	administrativo	ADJ
VII	VII	ADJ
informacao	informacao	NOUN
relativa	relativo	ADJ
implementacao	implementacao	NOUN
acompanhamento	acompanhamento	NOUN
resultados	resultado	NOUN
programas	programa	NOUN
projetos	projeto	NOUN
acoes	acoes	NOUN
orgaos	orgao	NOUN
entidades	entidade	NOUN
publicas	publico	ADJ
metas	meta	NOUN
indicadores	indicador	NOUN
propostos	propor	VERB
b	b	NUM
resultado	resultado	NOUN
inspecoes	inspecoes	NOUN
auditorias	auditoria	NOUN
prestacoes	prestacoes	NOUN
tomadas	tomar	VERB
contas	conta	NOUN
realizadas	realizar	VERB
orgaos	orgao	NOUN
controle	controle	NOUN
interno	interno	ADJ
externo	externo	ADJ
incluindo	incluir	VERB
prestacoes	prestacoes	NOUN
contas	conta	NOUN
relativas	relativo	ADJ
exercicios	exercicio	NOUN
anteriores	anterior	ADJ
VIII	VIII	NOUN
VETADO	VETADO	NOUN
Incluido	Incluido	PROPN
Lei	Lei	PROPN
14.345	14.345	NUM
2022	2022	NUM
SS	SS	PROPN
1o	1o	PROPN
acesso	acesso	NOUN
informacao	informacao	NOUN
previsto	prever	VERB
caput	caput	NOUN
nao	nao	NOUN
compreende	compreender	VERB
informacoes	informacoe	NOUN
referentes	referente	ADJ
projetos	projeto	NOUN
pesquisa	pesquisa	NOUN
desenvolvimento	desenvolvimento	NOUN
cientificos	cientifico	ADJ
tecnologicos	tecnologico	ADJ
sigilo	sigilo	NOUN
seja	ser	AUX
imprescindivel	imprescindivel	ADJ
seguranca	seguranca	NOUN
sociedade	sociedade	NOUN
SS	SS	PROPN
2o	2o	ADJ
nao	nao	ADV
autorizado	autorizar	VERB
acesso	acesso	NOUN
integral	integral	ADJ
informacao	informacao	NOUN
parcialmente	parcialmente	ADV
sigilosa	sigiloso	ADJ
assegurado	assegurar	VERB
acesso	acesso	NOUN
nao	nao	NOUN
sigilosa	sigiloso	ADJ
certidao	certidao	NOUN
extrato	extrato	NOUN
copia	copia	NOUN
ocultacao	ocultacao	NOUN
sigilo	sigilo	NOUN
SS	SS	PROPN
3o	3o	PROPN
direito	direito	NOUN
acesso	acesso	NOUN
documentos	documento	NOUN
informacoes	informacoe	NOUN
neles	neles	PRON
contidas	contir	VERB
utilizados	utilizar	VERB
fundamento	fundamento	NOUN
tomada	tomada	NOUN
decisao	decisao	NOUN
ato	ato	NOUN
administrativo	administrativo	ADJ
sera	sera	AUX
assegurado	assegurar	VERB
edicao	edicao	NOUN
ato	ato	NOUN
decisorio	decisorio	ADJ
respectivo	respectivo	ADJ
SS	SS	PROPN
4o	4o	PROPN
negativa	negativa	NOUN
acesso	acesso	NOUN
informacoes	informacoe	NOUN
objeto	objeto	NOUN
pedido	pedido	NOUN
formulado	formular	VERB
orgaos	orgao	NOUN
entidades	entidade	NOUN
referidas	referir	VERB
art.	art.	NOUN
1o	1o	ADJ
nao	nao	NOUN
fundamentada	fundamentar	VERB
sujeitara	sujeitara	ADP
responsavel	responsavel	NOUN
medidas	medida	NOUN
disciplinares	disciplinar	ADJ
termos	termos	NOUN
art.	art.	NOUN
32	32	NUM
Lei	Lei	NOUN
SS	SS	PROPN
5o	5o	PROPN
Informado	Informado	PROPN
extravio	extravio	NOUN
informacao	informacao	NOUN
solicitada	solicitar	VERB
podera	poderar	VERB
interessado	interessado	NOUN
requerer	requerer	VERB
autoridade	autoridade	NOUN
competente	competente	ADJ
imediata	imediato	ADJ
abertura	abertura	NOUN
sindicancia	sindicancia	NOUN
apurar	apurar	VERB
desaparecimento	desaparecimento	NOUN
respectiva	respectivo	ADJ
documentacao	documentacao	NOUN
SS	SS	PROPN
6o	6o	PROPN
Verificada	Verificar	VERB
hipotese	hipotese	NOUN
prevista	prever	VERB
SS	SS	PROPN
5o	5o	PROPN
artigo	artigo	NOUN
responsavel	responsavel	NOUN
guarda	guarda	NOUN
informacao	informacao	NOUN
extraviada	extraviar	VERB
devera	devero	ADJ
prazo	prazo	NOUN
10	10	NUM
dias	dia	NOUN
justificar	justificar	VERB
fato	fato	NOUN
indicar	indicar	VERB
testemunhas	testemunha	NOUN
comprovem	comprovar	VERB
alegacao	alegacao	NOUN
ARTIGO_8	ARTIGO_8	PROPN
Art.	Art.	PROPN
8o	8o	ADJ
dever	dever	VERB
orgaos	orgao	NOUN
entidades	entidade	NOUN
publicas	publico	ADJ
promover	promover	VERB
independentemente	independentemente	ADV
requerimentos	requerimento	NOUN
divulgacao	divulgacao	NOUN
facil	facil	ADJ
acesso	acesso	NOUN
ambito	ambito	NOUN
competencias	competencia	NOUN
informacoes	informacoes	NOUN
interesse	interesse	NOUN
coletivo	coletivo	ADJ
produzidas	produzir	VERB
custodiadas	custodiar	VERB
SS	SS	PROPN
1o	1o	ADJ
divulgacao	divulgacao	NOUN
informacoes	informacoe	NOUN
refere	referir	VERB
caput	caput	NOUN
deverao	deverao	VERB
constar	constar	VERB
minimo	minimo	NOUN
I	I	PROPN
registro	registro	NOUN
competencias	competencia	NOUN
estrutura	estrutura	NOUN
organizacional	organizacional	ADJ
enderecos	endereco	NOUN
telefones	telefone	NOUN
respectivas	respectivo	ADJ
unidades	unidade	NOUN
horarios	horario	NOUN
atendimento	atendimento	NOUN
publico	publico	NOUN
II	II	ADJ
registros	registro	NOUN
quaisquer	qualquer	DET
repasses	repasse	NOUN
transferencias	transferencia	NOUN
recursos	recurso	NOUN
financeiros	financeiro	ADJ
III	III	PROPN
registros	registro	NOUN
despesas	despesa	NOUN
IV	IV	PROPN
informacoes	informacoe	NOUN
concernentes	concernente	ADJ
procedimentos	procedimento	NOUN
licitatorios	licitatorio	ADJ
respectivos	respectivo	ADJ
editais	edital	NOUN
resultados	resultado	NOUN
contratos	contrato	NOUN
celebrados	celebrar	VERB
V	V	PROPN
dados	dado	NOUN
gerais	geral	ADJ
acompanhamento	acompanhamento	NOUN
programas	programa	NOUN
acoes	acoes	NOUN
projetos	projeto	NOUN
obras	obra	NOUN
orgaos	orgaos	NOUN
entidades	entidade	NOUN
VI	VI	ADJ
respostas	resposta	NOUN
perguntas	pergunta	NOUN
frequentes	frequente	ADJ
sociedade	sociedade	NOUN
SS	SS	PROPN
2o	2o	PROPN
cumprimento	cumprimento	NOUN
disposto	disposto	NOUN
caput	caput	NOUN
orgaos	orgao	NOUN
entidades	entidade	NOUN
publicas	publico	ADJ
deverao	deverao	VERB
utilizar	utilizar	VERB
meios	meio	NOUN
instrumentos	instrumento	NOUN
legitimos	legitimo	ADJ
dispuserem	dispuser	VERB
sendo	ser	AUX
obrigatoria	obrigatoria	NOUN
divulgacao	divulgacao	NOUN
sitios	sitio	NOUN
oficiais	oficial	ADJ
rede	rede	NOUN
mundial	mundial	ADJ
computadores	computador	NOUN
internet	Internet	PROPN
SS	SS	PROPN
3o	3o	PROPN
sitios	sitio	NOUN
trata	tratar	VERB
SS	SS	PROPN
2o	2o	PROPN
deverao	deverao	PROPN
regulamento	regulamento	NOUN
atender	atender	VERB
seguintes	seguinte	ADJ
requisitos	requisito	NOUN
I	I	PROPN
conter	conter	VERB
ferramenta	ferramenta	NOUN
pesquisa	pesquisa	NOUN
conteudo	conteudo	NOUN
permita	permitir	VERB
acesso	acesso	NOUN
informacao	informacao	NOUN
objetiva	objetivo	ADJ
transparente	transparente	ADJ
clara	claro	ADJ
linguagem	linguagem	NOUN
facil	facil	ADJ
compreensao	compreensao	PROPN
II	II	ADJ
possibilitar	possibilitar	VERB
gravacao	gravacao	NOUN
relatorios	relatorio	NOUN
diversos	diverso	DET
formatos	formato	NOUN
eletronicos	eletronico	ADJ
abertos	abrir	VERB
nao	nao	VERB
proprietarios	proprietario	NOUN
planilhas	planilha	NOUN
texto	texto	NOUN
modo	modo	NOUN
facilitar	facilitar	VERB
analise	analise	NOUN
informacoes	informacoe	NOUN
III	III	PROPN
possibilitar	possibilitar	VERB
acesso	acesso	NOUN
automatizado	automatizado	ADJ
sistemas	sistema	NOUN
externos	externo	ADJ
formatos	formato	NOUN
abertos	abrir	VERB
estruturados	estruturar	VERB
legiveis	legivel	NOUN
maquina	maquina	NOUN
IV	IV	NOUN
divulgar	divulgar	VERB
detalhes	detalhe	NOUN
formatos	formato	NOUN
utilizados	utilizar	VERB
estruturacao	estruturacao	NOUN
informacao	informacao	NOUN
V	V	NOUN
garantir	garantir	VERB
autenticidade	autenticidade	NOUN
integridade	integridade	NOUN
informacoes	informacoe	NOUN
disponiveis	disponivel	ADJ
acesso	acesso	NOUN
VI	VI	ADJ
manter	manter	VERB
atualizadas	atualizar	VERB
informacoes	informacoe	NOUN
disponiveis	disponivel	ADJ
acesso	acesso	NOUN
VII	VII	ADJ
indicar	indicar	VERB
instrucoes	Instrucoes	PROPN
permitam	permitir	VERB
interessado	interessado	NOUN
comunicar-se	comunicar se	VERB
via	via	NOUN
eletronica	eletronico	ADJ
telefonica	telefonica	NOUN
orgao	orgao	NOUN
entidade	entidade	NOUN
detentora	detentor	ADJ
sitio	sitio	NOUN
VIII	VIII	ADJ
adotar	adotar	VERB
medidas	medida	NOUN
necessarias	necessario	ADJ
garantir	garantir	VERB
acessibilidade	acessibilidade	NOUN
conteudo	conteudo	NOUN
pessoas	pessoa	NOUN
deficiencia	deficiencia	NOUN
termos	termos	NOUN
art.	art.	NOUN
17	17	NUM
Lei	Lei	PROPN
10.098	10.098	NUM
19	19	NUM
dezembro	dezembro	NOUN
2000	2000	NUM
art.	art.	NOUN
9o	9o	ADJ
Convencao	Convencao	PROPN
Direitos	Direitos	PROPN
Pessoas	Pessoas	NOUN
Deficiencia	Deficiencia	NOUN
aprovada	aprovar	VERB
Decreto	Decreto	PROPN
Legislativo	Legislativo	PROPN
186	186	NUM
9	9	NUM
julho	julho	NOUN
2008	2008	NUM
SS	SS	PROPN
4o	4o	PROPN
Municipios	Municipios	PROPN
populacao	populacao	NOUN
ate	ate	PROPN
10.000	10.000	NUM
habitantes	habitante	NOUN
ficam	ficar	VERB
dispensados	dispensar	VERB
divulgacao	divulgacao	NOUN
obrigatoria	obrigatorio	ADJ
internet	Internet	PROPN
refere	referir	VERB
SS	SS	PROPN
2o	2o	PROPN
mantida	manter	VERB
obrigatoriedade	obrigatoriedade	NOUN
divulgacao	divulgacao	NOUN
real	real	ADJ
informacoes	informacoe	NOUN
relativas	relativo	ADJ
execucao	execucao	NOUN
orcamentaria	orcamentario	ADJ
financeira	financeiro	ADJ
criterios	criterio	NOUN
prazos	prazo	NOUN
previstos	prever	VERB
art.	art.	NOUN
73-B	73-B	NUM
Lei	Lei	PROPN
Complementar	Complementar	PROPN
101	101	NUM
4	4	NUM
maio	maio	NOUN
2000	2000	NUM
Lei	Lei	PROPN
Responsabilidade	Responsabilidade	PROPN
Fiscal	Fiscal	PROPN
ARTIGO_9	ARTIGO_9	PROPN
Art.	Art.	PROPN
9o	9o	NUM
acesso	acesso	NOUN
informacoes	informacoe	NOUN
publicas	publico	ADJ
sera	sera	AUX
assegurado	assegurar	VERB
mediante	mediante	ADP
I	I	PROPN
criacao	criacao	NOUN
servico	servico	NOUN
informacoes	informacoes	NOUN
cidadao	cidadao	NOUN
orgaos	orgao	NOUN
entidades	entidade	NOUN
publico	publico	ADJ
condicoes	condicoe	NOUN
apropriadas	apropriar	VERB
atender	atender	VERB
orientar	orientar	VERB
publico	publico	NOUN
acesso	acesso	NOUN
informacoes	informacoes	NOUN
b	b	NUM
informar	informar	VERB
tramitacao	tramitacao	NOUN
documentos	documento	NOUN
respectivas	respectivo	ADJ
unidades	unidade	NOUN
c	c	PUNCT
protocolizar	protocolizar	VERB
documentos	documento	NOUN
requerimentos	requerimento	NOUN
acesso	acesso	NOUN
informacoes	informacoe	NOUN
II	II	ADJ
realizacao	realizacao	NOUN
audiencias	audiencia	NOUN
consultas	consulta	NOUN
publicas	publico	ADJ
incentivo	incentivar	NOUN
participacao	participacao	NOUN
popular	popular	ADJ
formas	forma	NOUN
divulgacao	divulgacao	NOUN
CAPITULO	CAPITULO	PROPN
III	III	ADJ
PROCEDIMENTO	PROCEDIMENTO	PROPN
ACESSO	ACESSO	NOUN
INFORMACAO	INFORMACAO	PROPN
Secao	Secao	PROPN
I	I	PROPN
Pedido	Pedido	NOUN
Acesso	Acesso	PROPN
ARTIGO_10	ARTIGO_10	PROPN
Art.	Art.	PROPN
10	10	NUM
interessado	interessado	NOUN
podera	poderar	VERB
apresentar	apresentar	VERB
pedido	pedir	NOUN
acesso	acesso	NOUN
informacoes	informacoe	NOUN
orgaos	orgao	NOUN
entidades	entidade	NOUN
referidos	referir	VERB
art.	art.	NOUN
1o	1o	ADJ
Lei	Lei	PROPN
legitimo	legitimo	ADJ
devendo	dever	VERB
pedido	pedido	NOUN
conter	conter	VERB
identificacao	identificacao	NOUN
requerente	requerente	NOUN
especificacao	especificacao	NOUN
informacao	informacao	NOUN
requerida	requerer	VERB
SS	SS	PROPN
1o	1o	PROPN
acesso	acesso	NOUN
informacoes	informacoes	NOUN
interesse	interesse	NOUN
publico	publico	ADJ
identificacao	identificacao	NOUN
requerente	requerente	ADJ
nao	nao	ADV
conter	conter	VERB
exigencias	exigencia	NOUN
inviabilizem	inviabilizem	VERB
solicitacao	solicitacao	NOUN
SS	SS	PROPN
2o	2o	PROPN
orgaos	orgaos	NOUN
entidades	entidade	NOUN
publico	publico	ADJ
viabilizar	viabilizar	VERB
alternativa	alternativa	NOUN
encaminhamento	encaminhamento	NOUN
pedidos	pedido	NOUN
acesso	acesso	NOUN
sitios	sitio	NOUN
oficiais	oficial	ADJ
internet	Internet	PROPN
SS	SS	PROPN
3o	3o	PROPN
Sao	Sao	PROPN
vedadas	vedar	VERB
quaisquer	qualquer	DET
exigencias	exigencia	NOUN
relativas	relativo	ADJ
motivos	motivo	NOUN
determinantes	determinante	ADJ
solicitacao	solicitacao	NOUN
informacoes	informacoes	NOUN
interesse	interesse	NOUN
publico	publico	ADJ
ARTIGO_11	aRTIGO_11	PROPN
Art.	Art.	PROPN
11	11	NUM
orgao	orgao	NOUN
entidade	entidade	NOUN
publica	publicar	VERB
devera	devero	ADJ
autorizar	autorizar	VERB
conceder	conceder	VERB
acesso	acesso	NOUN
imediato	imediato	ADJ
informacao	informacao	NOUN
disponivel	disponivel	ADJ
SS	SS	PROPN
1o	1o	PROPN
Nao	nao	ADV
sendo	ser	AUX
possivel	possivel	ADJ
conceder	conceder	VERB
acesso	acesso	NOUN
imediato	imediato	ADJ
disposta	disposto	ADJ
caput	caput	NOUN
orgao	orgao	NOUN
entidade	entidade	NOUN
receber	receber	VERB
pedido	pedido	NOUN
devera	deverar	ADJ
prazo	prazo	NOUN
